customer_id,Name,age,gender,phone_number,customer_location,purchase_date,product_category,purchase_amount,preferred_payment_method,loyality_score
1,Heddi Franzewitch,45,,602-122-2212,Vizag,27.10.2021,Books,85149,credit card,38
2,Elva McIlmurray,17,,935-456-3692,Guntur,16.2.2022,Electronics,38171,CAsh,51
3,Hobard Jaan,20,Male,208-197-1165,,18.9.2023,Groceries,15315,CAsh,3
4,Rozanna Birdsall,44,femal,572-520-0369,Vijayawada,3.9.2023,Grocy,43680,credit card,88
5,Jermaine Wicken,20,,571-488-3899,Vijayawada,12.6.2021,electronics,87037,mobile payment,41
6,Karl Oxshott,50,Male,949-785-8070,Chittor,4.7.2022,electronics,73376,CAsh,29
7,Ronni Sorton,15,femal,342-330-9538,Vizag,27.3.2021,Groceries,93670,credit card,35
8,Tobie Binnall,27,Male,194-871-9457,Vizag,23.2.2021,Clothing,50705,CAsh,84
9,Cassy Garwood,39,femal,939-235-1792,Vijayawada,15.7.2021,Toys,86705,mobile payment,20
10,Beitris Kimblen,42,Female,768-504-2064,Vizag,23.9.2022,Toys,57545,cash,71
11,Brynna Feasley,53,Female,916-422-1626,Kurnool,23.4.2023,Grocy,45093,credit card,54
12,Yehudi Petrillo,46,,412-964-4195,Kurnool,17.10.2023,Clothing,28942,credit card,28
13,Cale Haddick,41,Female,625-156-6035,Chittor,11.9.2022,Home Appliances,16870,CAsh,46
14,Sheffie Jorissen,40,MAle,557-458-5991,KUrnool,24.4.2022,electronics,19315,CAsh,50
15,Jeno Burberry,40,,157-720-5568,Kurnool,27.1.2023,Toys,53286,mobile payment,16
16,Devy Salsberg,31,MAle,906-521-2016,Vijayawada,1.3.2022,electronics,72619,CAsh,65
17,Jacklyn Tuer,32,MAle,647-502-0567,Chittor,28.7.2022,Toys,89891,CAsh,98
18,Revkah Whyler,60,MAle,783-165-8547,Vizag,15.4.2022,Home Appliances,,credit card,89
19,Nannette Clarkson,59,,197-262-8224,VIJayawada,8.7.2021,Groceries,39781,cash,8
20,Emili Durban,31,FEmale,635-119-9453,KUrnool,6.2.2021,,84761,credit card,26
21,Hedwig Meijer,21,,718-459-1107,Vijayawada,23.10.2021,electronics,24320,CAsh,32
22,Bobbee Jacox,33,FEmale,189-649-9036,Kurnool,28.12.2021,electronics,44892,mobile payment,86
23,Lynette Labbati,27,Male,325-330-9546,VIJayawada,24.12.2022,Books,50322,credit card,96
24,Brigida Pickthorn,43,MAle,970-447-8529,,1.4.2021,Books,14285,cash,29
25,Benji Selland,46,femal,808-987-4535,VIJayawada,17.1.2021,Clothing,72542,credit card,48
26,Vita Delgaty,24,,628-118-3748,Kurnool,15.5.2022,Electronics,18232,credit card,43
27,Kahlil Adne,15,Male,790-554-4584,,21.10.2023,Electronics,32605,cash,73
28,Ninette Simonetti,59,Female,336-735-9138,Vijayawada,2.10.2021,Toys,30043,cash,43
29,Hinze Petrie,28,,877-932-7933,Vijayawada,19.5.2021,Home Appliances,84285,cash,25
30,Blancha Jannings,16,FEmale,730-903-8333,VIJayawada,20.7.2021,Clothing,26743,cash,51
31,Hilario McFadden,40,Male,579-171-1894,KUrnool,4.10.2021,Grocy,98458,mobile payment,3
32,Catrina Scorrer,52,,307-617-0119,Vijayawada,4.6.2023,Home Appliances,91083,CAsh,47
33,Ashly Stalf,26,Female,129-981-8640,KUrnool,2.11.2021,Books,83192,credit card,64
34,Carlie Asp,41,Female,357-530-4035,Kurnool,4.7.2022,Toys,41145,cash,89
35,Frazer Wathen,36,,545-635-3783,KUrnool,12.10.2022,books,29039,cash,100
36,Morey Paragreen,48,Female,698-454-8109,Guntur,23.10.2023,Grocy,51832,CAsh,14
37,Otho Mulgrew,36,Male,537-930-6262,Vijayawada,2.8.2021,books,67054,CAsh,17
38,Noble Mapham,55,FEmale,660-952-1739,Guntur,13.3.2021,Home Appliances,89368,cash,41
39,Caroline Dingwall,46,Female,233-965-8869,Guntur,29.11.2021,books,90665,CAsh,53
40,Abbie Cason,31,Female,265-719-9274,Chittor,15.2.2021,Grocy,24440,credit card,83
41,Laurie Ruger,20,FEmale,369-598-1440,VIJayawada,15.5.2021,Grocy,13655,credit card,75
42,Marianna Eliasen,42,Female,663-399-5138,Guntur,3.8.2021,electronics,43371,credit card,96
43,Dottie Herculson,55,,490-852-9348,KUrnool,31.12.2021,Toys,15802,mobile payment,84
44,Timoteo Hurdiss,15,Male,976-576-4656,VIJayawada,5.11.2021,Electronics,17408,cash,97
45,Logan Huggons,45,MAle,528-873-6340,Vizag,6.9.2022,Clothing,60320,CAsh,86
46,Joelynn Lynagh,49,MAle,948-442-8601,KUrnool,5.11.2023,Books,83020,CAsh,20
47,Aylmar Lindroos,36,MAle,818-746-8469,KUrnool,2.2.2021,,,cash,91
48,Melvyn Trickett,57,Male,348-178-3447,Chittor,13.1.2023,books,58401,cash,58
49,Flossy Ulyet,29,MAle,194-904-9313,Vijayawada,13.6.2021,books,11362,cash,47
50,Aaren Childrens,59,Male,832-787-5233,Kurnool,13.9.2021,Books,18086,mobile payment,2
51,Archy Dickings,23,,242-446-2633,Guntur,15.5.2023,,82319,mobile payment,61
52,Antoinette Goldine,38,femal,892-487-3539,VIJayawada,16.9.2022,books,18732,cash,30
53,Shalna Pischof,50,,526-707-8338,,15.1.2021,Books,53938,mobile payment,99
54,Liane O'Collopy,44,MAle,505-897-0063,,4.1.2023,Electronics,64322,mobile payment,85
55,Whitman Dudney,43,femal,525-439-3375,Vizag,24.5.2023,Grocy,85599,credit card,41
56,Adelice O'Loinn,32,,667-431-7824,Vizag,4.3.2023,Electronics,87300,credit card,26
57,Ruth Haet,52,FEmale,277-481-3338,Kurnool,4.5.2022,Toys,93348,mobile payment,88
58,Trumann Pakeman,27,FEmale,815-149-3574,Guntur,7.2.2022,Groceries,13529,cash,4
59,Blair Lewinton,35,Male,606-920-6067,Chittor,15.11.2022,Toys,29258,CAsh,22
60,Bibbie Seelbach,55,,988-191-9597,Vijayawada,25.1.2021,Toys,80662,credit card,26
61,Yul Alps,50,MAle,140-838-9747,,11.3.2022,Groceries,91356,cash,76
62,Dorrie Harnott,30,femal,363-860-2303,VIJayawada,26.3.2021,Grocy,96203,CAsh,29
63,Lacy Chalfont,40,Female,680-711-6406,Vijayawada,19.5.2023,Groceries,44929,CAsh,24
64,Danella Jeannaud,19,Male,118-288-7449,KUrnool,17.4.2022,,62301,mobile payment,91
65,Peria Tytherton,37,Female,796-672-4071,Chittor,22.2.2022,Toys,98333,cash,39
66,Sidonia Ormesher,20,MAle,548-385-1544,,15.10.2022,electronics,70567,credit card,62
67,Mikey Hindrich,43,FEmale,199-451-5965,Chittor,28.9.2022,Toys,75213,credit card,53
68,Jacinta Jope,51,MAle,323-572-5740,Chittor,27.1.2021,Books,54727,cash,35
69,Theodor Verheijden,31,,414-226-3201,Vijayawada,20.6.2023,Groceries,80357,credit card,56
70,Vanya Warlock,42,Female,706-825-5204,KUrnool,24.4.2021,Groceries,48952,mobile payment,85
71,Raymond Charnick,27,Female,660-979-9309,Guntur,12.6.2021,Books,76828,cash,43
72,Val Lesor,47,Male,110-402-9396,Guntur,7.8.2022,,23638,mobile payment,7
73,Nedda Stoak,47,femal,467-758-4065,Kurnool,4.6.2023,Groceries,79636,credit card,29
74,Franky Salway,26,FEmale,389-785-8318,Kurnool,8.9.2023,Home Appliances,,CAsh,69
75,Nevile Schulze,58,,270-147-2224,Guntur,5.9.2022,Books,96733,cash,60
76,Ludwig Petrovsky,53,Male,247-475-2401,VIJayawada,2.12.2022,Home Appliances,86648,credit card,69
77,Niven todor,35,,693-983-9783,Vijayawada,7.6.2021,Electronics,,credit card,11
78,Jayson Newtown,59,MAle,761-282-3799,VIJayawada,1.12.2021,Grocy,72520,cash,57
79,Karrie Consadine,53,Male,682-484-0088,Kurnool,1.8.2021,Electronics,59187,credit card,60
80,Durward Leighfield,32,FEmale,203-503-7392,Vijayawada,20.9.2022,books,12202,mobile payment,64
81,Vivian Willarton,51,FEmale,546-399-0817,KUrnool,3.9.2021,Grocy,92174,CAsh,19
82,Sarine Warton,53,MAle,718-676-2690,Kurnool,21.11.2021,Groceries,28029,credit card,54
83,Joane Garces,36,FEmale,860-428-3051,Kurnool,22.10.2022,Grocy,23005,cash,100
84,Cherin Mc-Kerley,19,MAle,514-540-6204,Kurnool,15.5.2021,,31241,credit card,45
85,Jami Greenshields,32,FEmale,205-823-4939,KUrnool,9.9.2022,Home Appliances,42626,mobile payment,44
86,Zeke Harbisher,19,femal,630-916-3418,Guntur,20.5.2023,,92333,cash,85
87,Inna Dykins,55,Female,919-459-8588,Vijayawada,21.4.2023,,20089,CAsh,60
88,Fenelia Fulcher,52,femal,370-817-3000,KUrnool,29.8.2021,Home Appliances,66579,mobile payment,88
89,Michale Pavlovsky,49,Female,637-703-6425,Vizag,30.11.2023,Electronics,95885,cash,56
90,Weylin Godspede,50,Female,538-833-1084,Guntur,15.6.2023,Clothing,23631,CAsh,20
91,Cortney Boyse,19,FEmale,354-555-7282,Vijayawada,11.11.2023,Clothing,19184,credit card,22
92,Baily Weadick,52,,479-387-3951,VIJayawada,23.3.2022,electronics,67798,CAsh,72
93,Tabbie Pierrepoint,25,MAle,110-253-8118,Kurnool,2.6.2021,Electronics,64634,mobile payment,25
94,Rica Dimitrie,23,Male,909-434-7015,Kurnool,26.9.2022,Grocy,51286,mobile payment,18
95,Bruno MacEnelly,54,Female,517-864-1512,Kurnool,22.10.2023,Clothing,62206,mobile payment,81
96,Dianne Ashfold,45,FEmale,254-321-0611,Kurnool,24.9.2022,Electronics,49535,credit card,81
97,Lazaro Spillane,55,Female,761-396-1142,KUrnool,9.12.2021,Groceries,46534,credit card,78
